nohup: ignoring input
psi0.01_Mdot3e-9_M0.125_Rd50	[2025-10-03 10:21:36] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd5.0e+01.h5
psi0.01_Mdot3e-9_M0.125_Rd100	[2025-10-03 11:28:43] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd1.0e+02.h5
psi0.01_Mdot3e-9_M0.125_Rd150	[2025-10-03 11:49:29] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd1.5e+02.h5
psi0.01_Mdot3e-9_M0.125_Rd200	[2025-10-03 12:31:51] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd2.0e+02.h5
psi0.01_Mdot3e-9_M0.15_Rd10	[2025-10-03 12:34:12] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd1.0e+01.h5
psi0.01_Mdot3e-9_M0.15_Rd20	[2025-10-03 13:27:26] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd2.0e+01.h5
psi0.01_Mdot3e-9_M0.15_Rd50	[2025-10-03 14:49:09] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd5.0e+01.h5
psi0.01_Mdot3e-9_M0.15_Rd100	[2025-10-03 16:19:24] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd1.0e+02.h5
psi0.01_Mdot3e-9_M0.15_Rd150	[2025-10-03 17:31:03] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd1.5e+02.h5
psi0.01_Mdot3e-9_M0.15_Rd200	[2025-10-03 17:34:50] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.5e-01_Rd2.0e+02.h5
psi0.01_Mdot1e-8_M0.01_Rd10	[2025-10-03 18:11:24] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd1.0e+01.h5
psi0.01_Mdot1e-8_M0.01_Rd20	[2025-10-03 18:20:50] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd2.0e+01.h5
psi0.01_Mdot1e-8_M0.01_Rd50	[2025-10-03 18:21:45] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd5.0e+01.h5
psi0.01_Mdot1e-8_M0.01_Rd100	[2025-10-03 18:21:47] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd1.0e+02.h5
psi0.01_Mdot1e-8_M0.01_Rd150	[2025-10-03 18:21:50] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd1.5e+02.h5
psi0.01_Mdot1e-8_M0.01_Rd200	[2025-10-03 18:21:53] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-02_Rd2.0e+02.h5
psi0.01_Mdot1e-8_M0.05_Rd10	[2025-10-03 18:21:55] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd1.0e+01.h5
psi0.01_Mdot1e-8_M0.05_Rd20	[2025-10-03 18:40:59] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd2.0e+01.h5
psi0.01_Mdot1e-8_M0.05_Rd50	[2025-10-03 20:59:37] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd5.0e+01.h5
psi0.01_Mdot1e-8_M0.05_Rd100	[2025-10-03 22:04:58] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd1.0e+02.h5
psi0.01_Mdot1e-8_M0.05_Rd150	[2025-10-03 22:21:32] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd1.5e+02.h5
psi0.01_Mdot1e-8_M0.05_Rd200	[2025-10-03 23:37:13] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M5.0e-02_Rd2.0e+02.h5
psi0.01_Mdot1e-8_M0.1_Rd10	[2025-10-03 23:51:51] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd1.0e+01.h5
psi0.01_Mdot1e-8_M0.1_Rd20	[2025-10-04 00:53:38] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd2.0e+01.h5
psi0.01_Mdot1e-8_M0.1_Rd50	[2025-10-04 01:03:39] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd5.0e+01.h5
psi0.01_Mdot1e-8_M0.1_Rd100	[2025-10-04 01:56:46] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd1.0e+02.h5
psi0.01_Mdot1e-8_M0.1_Rd150	[2025-10-04 02:05:53] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd1.5e+02.h5
psi0.01_Mdot1e-8_M0.1_Rd200	[2025-10-04 03:40:56] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.0e-01_Rd2.0e+02.h5
psi0.01_Mdot1e-8_M0.125_Rd10	[2025-10-04 04:15:17] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd1.0e+01.h5
psi0.01_Mdot1e-8_M0.125_Rd20	[2025-10-04 04:35:44] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd2.0e+01.h5
psi0.01_Mdot1e-8_M0.125_Rd50	[2025-10-04 05:51:09] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd5.0e+01.h5
psi0.01_Mdot1e-8_M0.125_Rd100	[2025-10-04 07:15:02] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd1.0e+02.h5
psi0.01_Mdot1e-8_M0.125_Rd150	[2025-10-04 07:15:44] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd1.5e+02.h5
psi0.01_Mdot1e-8_M0.125_Rd200	[2025-10-04 07:55:22] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.2e-01_Rd2.0e+02.h5
psi0.01_Mdot1e-8_M0.15_Rd10	[2025-10-04 08:57:13] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd1.0e+01.h5
psi0.01_Mdot1e-8_M0.15_Rd20	[2025-10-04 09:28:25] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd2.0e+01.h5
psi0.01_Mdot1e-8_M0.15_Rd50	[2025-10-04 10:09:12] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd5.0e+01.h5
psi0.01_Mdot1e-8_M0.15_Rd100	[2025-10-04 10:26:16] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd1.0e+02.h5
psi0.01_Mdot1e-8_M0.15_Rd150	[2025-10-04 11:53:43] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd1.5e+02.h5
psi0.01_Mdot1e-8_M0.15_Rd200	[2025-10-04 12:15:42] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot1.0e-08_M1.5e-01_Rd2.0e+02.h5
psi0.01_Mdot3e-8_M0.01_Rd10	[2025-10-04 12:20:08] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd1.0e+01.h5
