# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 959999.9999999957yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 960000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
500.4925770249999 0.00020373768904027184 10.452172194364644 7.404735534942269e-11 2.3941978229646646e-09 1e-05 1e-05 -2.70647E-12 6.39025E-13
501.894318025 0.0001980952900715852 10.439651391093335 7.364789665635916e-11 2.3812819918889437e-09 1e-05 1e-05 -2.64702E-12 6.23193E-13
503.29801922499996 0.0001926035788073925 10.427163039967065 7.32538604480494e-11 2.3685414878202616e-09 1e-05 1e-05 -2.58878E-12 6.07732E-13
504.70368062500006 0.00018725868941437505 10.414707011764088 7.28652250364369e-11 2.3559756095114573e-09 1e-05 1e-05 -2.53172E-12 5.92635E-13
506.111302225 0.0001820568508746926 10.402283177956342 7.248197497003613e-11 2.3435838573644993e-09 1e-05 1e-05 -2.47583E-12 5.77894E-13
507.52088402499993 0.00017699438477632222 10.38989141070475 7.210410114909448e-11 2.331365937154053e-09 1e-05 1e-05 -2.42108E-12 5.63502E-13
508.93242602499987 0.00017206770315194203 10.377531582854594 7.173160095666249e-11 2.3193217642654187e-09 1e-05 1e-05 -2.36745E-12 5.49449E-13
510.34592822499997 0.00016727330636535318 10.365203567930886 7.136447840614913e-11 2.307451468465486e-09 1e-05 1e-05 -2.31493E-12 5.35729E-13
511.76139062500005 0.0001626077810444719 10.352907240133817 7.100274430593171e-11 2.295755399225123e-09 1e-05 1e-05 -2.26348E-12 5.22334E-13
513.178813225 0.0001580677980599291 10.340642474334226 7.064641644174602e-11 2.284234131616453e-09 1e-05 1e-05 -2.21310E-12 5.09258E-13
514.598196025 0.0001536501105483432 10.328409146069077 7.029551977754365e-11 2.272888472807242e-09 1e-05 1e-05 -2.16375E-12 4.96492E-13
516.0195390249999 0.00014935155197934427 10.316207131537036 6.995008667559591e-11 2.261719469177599e-09 1e-05 1e-05 -2.11543E-12 4.84031E-13
517.442842225 0.0001451690342654448 10.304036307594018 6.961015713679937e-11 2.2507284140898443e-09 1e-05 1e-05 -2.06811E-12 4.71866E-13
518.8681056249999 0.0001410995459138738 10.291896551748824 6.927577906187319e-11 2.239916856333898e-09 1e-05 1e-05 -2.02177E-12 4.59992E-13
520.295329225 0.00013714015021949638 10.279787742158762 6.89470085347453e-11 2.229286609290096e-09 1e-05 1e-05 -1.97639E-12 4.48402E-13
521.724513025 0.00013328798349797948 10.267709757625347 6.862391012884549e-11 2.218839760832669e-09 1e-05 1e-05 -1.93196E-12 4.37089E-13
523.1556570249999 0.0001295402533583525 10.255662477590018 6.830655723776803e-11 2.208578684021164e-09 1e-05 1e-05 -1.88846E-12 4.26048E-13
524.588761225 0.00012589423701415267 10.243645782129876 6.799503243124215e-11 2.198506048610161e-09 1e-05 1e-05 -1.84587E-12 4.15272E-13
526.023825625 0.00012234727963234717 10.231659551953488 6.768942783790492e-11 2.1886248334255903e-09 1e-05 1e-05 -1.80418E-12 4.04755E-13
527.4608502250001 0.00011889679271923706 10.219703668396681 6.73898455561622e-11 2.1789383396492423e-09 1e-05 1e-05 -1.76336E-12 3.94491E-13
528.899835025 0.0001155402525425803 10.207778013418421 6.709639809470354e-11 2.1694502050620793e-09 1e-05 1e-05 -1.72340E-12 3.84475E-13
530.340780025 0.00011227519858916005 10.195882469596684 6.680920884414343e-11 2.160164419293969e-09 1e-05 1e-05 -1.68428E-12 3.74701E-13
531.7836852249999 0.0001090992320570676 10.184016920124366 6.652841258164182e-11 2.1510853401397503e-09 1e-05 1e-05 -1.64599E-12 3.65163E-13
533.228550625 0.00010601001438195846 10.172181248805249 6.625415601016614e-11 2.14221771099537e-09 1e-05 1e-05 -1.60851E-12 3.55856E-13
534.675376225 0.00010300526579657333 10.160375340049978 6.59865983343908e-11 2.133566679478634e-09 1e-05 1e-05 -1.57182E-12 3.46775E-13
536.124162025 0.0001000827639228158 10.148599078872072 6.57259118753404e-11 2.125137817302671e-09 1e-05 1e-05 -1.53592E-12 3.37915E-13
537.574908025 9.724034239570182e-05 10.136852350883974 6.54722827258044e-11 2.1169371414676736e-09 1e-05 1e-05 -1.50077E-12 3.29270E-13
